Date (MM/DD/YYYY),Time (HH:MM:SS),Time (Fract. Sec),Site Name,Chlorophyll RFU,Chlorophyll ug/L,Cond uS/cm,nLF Cond uS/cm,ODO % sat,ODO % local,ODO mg/L,Sal psu,SpCond uS/cm,BGA PC RFU,BGA PC ug/L,TDS mg/L,Wiper Position volt,pH,pH mV,Temp C,Battery V,Cable Pwr V
5/16/19,12:00:00,0,South Twin,5.16,34.85,361.7,415.4,121.9,121.9,11.35,0.2,410.9,1.24,5.16,267,1.203,8.72,-181.4,18.726,2.96,1.6
5/16/19,12:15:00,0,South Twin,4.69,32.94,363.3,415.9,124.2,124.2,11.54,0.2,411.5,1.34,5.26,267,1.2,8.69,-179.4,18.864,2.96,1.6
5/16/19,12:30:00,0,South Twin,4.51,32.21,373.9,417.1,126.3,126.3,11.48,0.2,413.4,1.06,4.97,269,1.196,8.66,-178.4,19.986,2.96,1.5
5/16/19,12:45:00,0,South Twin,5.05,34.42,372.1,416,127.6,127.6,11.61,0.2,412.3,1.28,5.2,268,1.193,8.68,-179.5,19.895,2.96,1.5
5/16/19,13:00:00,0,South Twin,5.15,34.81,373.5,416.1,129.6,129.6,11.76,0.2,412.5,1.35,5.27,268,1.202,8.69,-180,20.048,2.96,1.5
5/16/19,13:15:00,0,South Twin,5.13,34.7,376.5,416,132.2,132.2,11.91,0.2,412.6,1.28,5.2,268,1.205,8.7,-180.5,20.417,2.96,1.5
5/16/19,13:30:00,0,South Twin,5.22,35.09,376,415.5,133.9,133.9,12.06,0.2,412.1,1.32,5.24,268,1.202,8.71,-181.2,20.409,2.96,1.5
5/16/19,13:45:00,0,South Twin,5.42,35.89,375.8,415.4,135.8,135.8,12.24,0.2,412,1.23,5.15,268,1.204,8.72,-181.8,20.404,2.96,1.5
5/16/19,14:00:00,0,South Twin,5.29,35.37,375.4,414.9,136.4,136.4,12.29,0.2,411.5,1.21,5.13,268,1.194,8.73,-182.3,20.397,2.96,1.5
5/16/19,14:15:00,0,South Twin,4.97,34.06,375.4,414.2,138.3,138.3,12.44,0.2,410.8,1.13,5.04,267,1.191,8.74,-182.9,20.488,2.96,1.5
5/16/19,14:30:00,0,South Twin,5.35,35.62,376.6,414.5,140.1,140.1,12.58,0.2,411.3,1.26,5.18,267,1.203,8.74,-183.3,20.585,2.96,1.5
5/16/19,14:45:00,0,South Twin,5.8,37.43,376.9,414.3,141,141,12.64,0.2,411,1.21,5.13,267,1.208,8.75,-183.8,20.649,2.96,1.5
5/16/19,15:00:00,0,South Twin,5.36,35.67,377.8,413.9,142,142,12.7,0.2,410.8,1.16,5.08,267,1.199,8.75,-183.9,20.791,2.96,1.5
5/16/19,15:15:00,0,South Twin,4.92,33.89,378.9,413.7,144.1,144.1,12.85,0.2,410.7,1.06,4.98,267,1.193,8.76,-184.4,20.942,2.95,1.5
