lagoslakeid,sampledate,chla,source,lake_year,year
-1212,6/17/1999,8,IA_CLAMP,-1212_1999,1999
-1212,6/30/1999,34,IA_CLAMP,-1212_1999,1999
-1212,7/18/1999,125,IA_CLAMP,-1212_1999,1999
-1212,8/2/1999,23,IA_CLAMP,-1212_1999,1999
-1212,8/16/1999,19,IA_CLAMP,-1212_1999,1999
-1212,8/31/1999,35,IA_CLAMP,-1212_1999,1999
-1212,9/20/1999,6,IA_CLAMP,-1212_1999,1999
-1212,5/16/2000,2,IA_CLAMP,-1212_2000,2000
-1212,6/2/2000,5,IA_CLAMP,-1212_2000,2000
-1212,6/17/2000,6,IA_CLAMP,-1212_2000,2000
-1212,6/27/2000,11,IA_CLAMP,-1212_2000,2000
-1212,7/9/2000,82,IA_CLAMP,-1212_2000,2000
-1212,7/22/2000,8,IA_CLAMP,-1212_2000,2000
-1212,8/7/2000,106,IA_CLAMP,-1212_2000,2000
-1212,8/20/2000,37,IA_CLAMP,-1212_2000,2000
-1212,9/4/2000,34,IA_CLAMP,-1212_2000,2000
-1212,9/18/2000,20,IA_CLAMP,-1212_2000,2000
-1212,6/10/2001,16,IA_CLAMP,-1212_2001,2001
-1212,6/23/2001,8,IA_CLAMP,-1212_2001,2001
-1212,7/3/2001,42,IA_CLAMP,-1212_2001,2001
-1212,8/3/2001,89,IA_CLAMP,-1212_2001,2001
-1212,8/22/2001,90,IA_CLAMP,-1212_2001,2001
-1212,8/23/2001,122,IA_CLAMP,-1212_2001,2001
-1212,9/1/2001,85,IA_CLAMP,-1212_2001,2001
-1212,9/21/2001,75,IA_CLAMP,-1212_2001,2001
-1212,6/5/2002,NA,IA_CLAMP,-1212_2002,2002
-1212,6/18/2002,43,IA_CLAMP,-1212_2002,2002
-1212,7/2/2002,11,IA_CLAMP,-1212_2002,2002
-1212,7/26/2002,26,IA_CLAMP,-1212_2002,2002
-1212,7/28/2002,34,IA_CLAMP,-1212_2002,2002
-1212,8/12/2002,46,IA_CLAMP,-1212_2002,2002
-1212,8/28/2002,51,IA_CLAMP,-1212_2002,2002
-1212,9/15/2002,30,IA_CLAMP,-1212_2002,2002
-1212,9/27/2002,24,IA_CLAMP,-1212_2002,2002
-1212,6/8/2003,1,IA_CLAMP,-1212_2003,2003
-1212,6/19/2003,4,IA_CLAMP,-1212_2003,2003
-1212,7/9/2003,81,IA_CLAMP,-1212_2003,2003
-1212,7/21/2003,60,IA_CLAMP,-1212_2003,2003
-1212,8/6/2003,23,IA_CLAMP,-1212_2003,2003
-1212,8/21/2003,35,IA_CLAMP,-1212_2003,2003
-1212,9/9/2003,18,IA_CLAMP,-1212_2003,2003
-1212,9/13/2003,15,IA_CLAMP,-1212_2003,2003
