lagoslakeid,sampledate,chla,lake_year
-1212,6/17/1999,8,-1212_1999
-1212,6/30/1999,34,-1212_1999
-1212,7/18/1999,125,-1212_1999
-1212,8/2/1999,23,-1212_1999
-1212,8/16/1999,19,-1212_1999
-1212,8/31/1999,35,-1212_1999
-1212,9/20/1999,6,-1212_1999
-1212,5/16/2000,2,-1212_2000
-1212,6/2/2000,5,-1212_2000
-1212,6/17/2000,6,-1212_2000
-1212,6/27/2000,11,-1212_2000
-1212,7/9/2000,82,-1212_2000
-1212,7/22/2000,8,-1212_2000
-1212,8/7/2000,106,-1212_2000
-1212,8/20/2000,37,-1212_2000
-1212,9/4/2000,34,-1212_2000
-1212,9/18/2000,20,-1212_2000
-1212,6/10/2001,16,-1212_2001
-1212,6/23/2001,8,-1212_2001
-1212,7/3/2001,42,-1212_2001
-1212,8/3/2001,89,-1212_2001
-1212,8/22/2001,90,-1212_2001
-1212,8/23/2001,122,-1212_2001
-1212,9/1/2001,85,-1212_2001
-1212,9/21/2001,75,-1212_2001
-1212,6/5/2002,NA,-1212_2002
-1212,6/18/2002,43,-1212_2002
-1212,7/2/2002,11,-1212_2002
-1212,7/26/2002,26,-1212_2002
-1212,7/28/2002,34,-1212_2002
-1212,8/12/2002,46,-1212_2002
-1212,8/28/2002,51,-1212_2002
-1212,9/15/2002,30,-1212_2002
-1212,9/27/2002,24,-1212_2002
-1212,6/8/2003,1,-1212_2003
-1212,6/19/2003,4,-1212_2003
-1212,7/9/2003,81,-1212_2003
-1212,7/21/2003,60,-1212_2003
-1212,8/6/2003,23,-1212_2003
-1212,8/21/2003,35,-1212_2003
-1212,9/9/2003,18,-1212_2003
-1212,9/13/2003,15,-1212_2003
-1212,6/8/2004,25,-1212_2004
-1212,6/22/2004,9,-1212_2004
-1212,7/7/2004,20,-1212_2004
-1212,7/27/2004,93,-1212_2004
-1212,8/6/2004,27,-1212_2004
-1212,8/25/2004,27,-1212_2004
-1212,9/16/2004,161,-1212_2004
-1212,6/8/2005,1,-1212_2005
-1212,6/23/2005,7,-1212_2005
-1212,7/1/2005,16,-1212_2005
-1212,7/20/2005,19,-1212_2005
-1212,8/8/2005,22,-1212_2005
-1212,8/25/2005,NA,-1212_2005
-1212,9/5/2005,45,-1212_2005
-1212,6/8/2006,6,-1212_2006
-1212,6/21/2006,8,-1212_2006
-1212,7/13/2006,18,-1212_2006
-1212,7/20/2006,41,-1212_2006
-1212,8/3/2006,35,-1212_2006
-1212,8/18/2006,46,-1212_2006
-1212,9/8/2006,28,-1212_2006
-1212,6/11/2007,9,-1212_2007
-1212,6/19/2007,23,-1212_2007
-1212,7/27/2007,31,-1212_2007
-1212,8/7/2007,37,-1212_2007
-1212,8/27/2007,37,-1212_2007
-1212,9/6/2007,31,-1212_2007
-1212,6/3/2008,3,-1212_2008
-1212,6/23/2008,14,-1212_2008
-1212,7/8/2008,39,-1212_2008
-1212,7/24/2008,10,-1212_2008
-1212,8/12/2008,37,-1212_2008
-1212,8/28/2008,81,-1212_2008
-1212,9/12/2008,54,-1212_2008
-1212,6/11/2009,2,-1212_2009
-1212,6/23/2009,6,-1212_2009
-1212,7/7/2009,9,-1212_2009
-1212,7/30/2009,32,-1212_2009
-1212,8/13/2009,25,-1212_2009
-1212,8/27/2009,20,-1212_2009
-1212,9/14/2009,56,-1212_2009
-1212,6/7/2010,4,-1212_2010
-1212,6/24/2010,14,-1212_2010
-1212,7/1/2010,31,-1212_2010
-1212,7/29/2010,57,-1212_2010
-1212,8/9/2010,58,-1212_2010
-1212,8/19/2010,80,-1212_2010
-1212,9/13/2010,52,-1212_2010
-1212,6/12/2011,8,-1212_2011
-1212,6/30/2011,39,-1212_2011
-1212,7/15/2011,33,-1212_2011
-1212,7/26/2011,69,-1212_2011
-1212,8/1/2011,54,-1212_2011
-1212,8/23/2011,47,-1212_2011
-1212,9/9/2011,71,-1212_2011
-1212,6/7/2012,24,-1212_2012
-1212,6/22/2012,38,-1212_2012
-1212,7/6/2012,27,-1212_2012
-1212,7/18/2012,46,-1212_2012
-1212,8/1/2012,94,-1212_2012
-1212,8/28/2012,50,-1212_2012
-1212,6/5/2013,2,-1212_2013
-1212,6/27/2013,4,-1212_2013
-1212,7/9/2013,48,-1212_2013
-1212,7/23/2013,62,-1212_2013
-1212,8/8/2013,37,-1212_2013
-1212,8/20/2013,40,-1212_2013
-1212,9/3/2013,75,-1212_2013
-1212,6/5/2014,6,-1212_2014
-1212,6/20/2014,12,-1212_2014
-1212,7/7/2014,46,-1212_2014
-1212,7/21/2014,43,-1212_2014
-1212,8/7/2014,26,-1212_2014
-1212,8/18/2014,41,-1212_2014
-1212,9/8/2014,46,-1212_2014
-1212,6/9/2015,3,-1212_2015
-1212,6/23/2015,18,-1212_2015
-1212,7/14/2015,1,-1212_2015
-1212,7/23/2015,13,-1212_2015
-1212,8/10/2015,36,-1212_2015
-1212,6/2/2016,2,-1212_2016
-1212,6/23/2016,9,-1212_2016
-1212,7/7/2016,18,-1212_2016
-1212,7/22/2016,32,-1212_2016
-1212,8/13/2016,34,-1212_2016
-1212,8/25/2016,47,-1212_2016
-1212,9/8/2016,34,-1212_2016
-1212,6/8/2017,9,-1212_2017
-1212,6/23/2017,4,-1212_2017
-1212,7/7/2017,30,-1212_2017
-1212,7/27/2017,38,-1212_2017
-1212,8/10/2017,13,-1212_2017
-1212,8/22/2017,41,-1212_2017
-1212,9/7/2017,53,-1212_2017
-1212,6/8/2018,16,-1212_2018
-1212,6/22/2018,22,-1212_2018
-1212,7/16/2018,26,-1212_2018
-1212,7/31/2018,16,-1212_2018
-1212,8/13/2018,43,-1212_2018
-1212,8/24/2018,76,-1212_2018
-1212,9/14/2018,76,-1212_2018
-1111,6/17/1999,2,-1111_1999
-1111,7/6/1999,5,-1111_1999
-1111,7/14/1999,4,-1111_1999
-1111,7/28/1999,5,-1111_1999
-1111,8/11/1999,6,-1111_1999
-1111,8/25/1999,7,-1111_1999
-1111,9/9/1999,NA,-1111_1999
-1111,9/22/1999,12,-1111_1999
-1111,5/25/2000,1,-1111_2000
-1111,6/7/2000,2,-1111_2000
-1111,6/22/2000,3,-1111_2000
-1111,7/5/2000,3,-1111_2000
-1111,7/19/2000,3,-1111_2000
-1111,8/2/2000,6,-1111_2000
-1111,8/17/2000,6,-1111_2000
-1111,8/31/2000,6,-1111_2000
-1111,9/14/2000,9,-1111_2000
-1111,9/27/2000,9,-1111_2000
-1111,6/14/2001,3,-1111_2001
-1111,6/27/2001,5,-1111_2001
-1111,7/11/2001,5,-1111_2001
-1111,7/25/2001,9,-1111_2001
-1111,8/8/2001,7,-1111_2001
-1111,8/22/2001,11,-1111_2001
-1111,9/5/2001,13,-1111_2001
-1111,9/17/2001,9,-1111_2001
-1111,6/5/2002,1,-1111_2002
-1111,6/20/2002,2,-1111_2002
-1111,7/5/2002,4,-1111_2002
-1111,8/1/2002,5,-1111_2002
-1111,8/13/2002,NA,-1111_2002
-1111,8/15/2002,4,-1111_2002
-1111,8/26/2002,10,-1111_2002
-1111,9/12/2002,9,-1111_2002
-1111,9/27/2002,13,-1111_2002
-1111,6/11/2003,1,-1111_2003
-1111,6/25/2003,3,-1111_2003
-1111,7/10/2003,3,-1111_2003
-1111,7/24/2003,6,-1111_2003
-1111,8/12/2003,3,-1111_2003
-1111,8/20/2003,4,-1111_2003
-1111,9/5/2003,5,-1111_2003
-1111,9/19/2003,6,-1111_2003
-1111,6/8/2004,3,-1111_2004
-1111,6/22/2004,12,-1111_2004
-1111,7/9/2004,3,-1111_2004
-1111,7/20/2004,7,-1111_2004
-1111,8/11/2004,7,-1111_2004
-1111,8/26/2004,5,-1111_2004
-1111,9/16/2004,7,-1111_2004
-1111,6/7/2005,1,-1111_2005
-1111,6/21/2005,4,-1111_2005
-1111,7/8/2005,6,-1111_2005
-1111,7/18/2005,6,-1111_2005
-1111,8/11/2005,7,-1111_2005
-1111,8/23/2005,NA,-1111_2005
-1111,9/20/2005,13,-1111_2005
-1111,6/4/2008,1,-1111_2008
-1111,6/25/2008,1,-1111_2008
-1111,7/9/2008,2,-1111_2008
-1111,7/22/2008,7,-1111_2008
-1111,8/14/2008,2,-1111_2008
-1111,8/26/2008,6,-1111_2008
-1111,9/9/2008,4,-1111_2008
-1111,6/9/2009,1,-1111_2009
-1111,6/27/2009,3,-1111_2009
-1111,7/7/2009,6,-1111_2009
-1111,7/22/2009,3,-1111_2009
-1111,8/5/2009,4,-1111_2009
-1111,8/18/2009,4,-1111_2009
-1111,9/11/2009,3,-1111_2009
-1111,6/3/2010,1,-1111_2010
-1111,6/15/2010,2,-1111_2010
-1111,7/9/2010,3,-1111_2010
-1111,7/21/2010,3,-1111_2010
-1111,8/5/2010,4,-1111_2010
-1111,9/1/2010,6,-1111_2010
-1111,9/13/2010,10,-1111_2010
-1111,6/8/2011,1,-1111_2011
-1111,6/28/2011,3,-1111_2011
-1111,7/8/2011,2,-1111_2011
-1111,7/19/2011,3,-1111_2011
-1111,8/8/2011,5,-1111_2011
-1111,8/23/2011,10,-1111_2011
-1111,9/13/2011,12,-1111_2011
-1111,6/15/2012,13,-1111_2012
-1111,6/21/2012,5,-1111_2012
-1111,7/11/2012,2,-1111_2012
-1111,7/18/2012,2,-1111_2012
-1111,8/8/2012,3,-1111_2012
-1111,8/20/2012,8,-1111_2012
-1111,9/9/2012,7,-1111_2012
-1111,6/6/2013,2,-1111_2013
-1111,6/19/2013,1,-1111_2013
-1111,7/2/2013,9,-1111_2013
-1111,7/17/2013,2,-1111_2013
-1111,8/6/2013,2,-1111_2013
-1111,8/22/2013,4,-1111_2013
-1111,9/10/2013,5,-1111_2013
-1111,6/3/2014,1,-1111_2014
-1111,6/16/2014,1,-1111_2014
-1111,7/8/2014,2,-1111_2014
-1111,7/23/2014,1,-1111_2014
-1111,8/8/2014,3,-1111_2014
-1111,8/19/2014,2,-1111_2014
-1111,9/16/2014,5,-1111_2014
-1111,6/9/2015,4,-1111_2015
-1111,6/24/2015,4,-1111_2015
-1111,7/15/2015,2,-1111_2015
-1111,7/24/2015,1,-1111_2015
-1111,8/5/2015,1,-1111_2015
-1111,8/24/2015,6,-1111_2015
-1111,9/4/2015,3,-1111_2015
-1111,6/7/2016,1,-1111_2016
-1111,6/24/2016,4,-1111_2016
-1111,7/5/2016,6,-1111_2016
-1111,7/27/2016,5,-1111_2016
-1111,8/9/2016,4,-1111_2016
-1111,8/25/2016,4,-1111_2016
-1111,9/2/2016,3,-1111_2016
-1111,6/8/2018,1,-1111_2018
-1111,6/19/2018,1,-1111_2018
-1111,7/11/2018,2,-1111_2018
-1111,7/27/2018,3,-1111_2018
-1111,8/8/2018,2,-1111_2018
-1111,8/29/2018,2,-1111_2018
-1111,9/7/2018,2,-1111_2018
-1010,7/14/1999,NA,-1010_1999
-1010,7/28/1999,58,-1010_1999
-1010,8/11/1999,49,-1010_1999
-1010,8/25/1999,NA,-1010_1999
-1010,9/8/1999,137,-1010_1999
-1010,9/22/1999,115,-1010_1999
-1010,5/20/2000,9,-1010_2000
-1010,6/2/2000,55,-1010_2000
-1010,6/16/2000,99,-1010_2000
-1010,6/30/2000,59,-1010_2000
-1010,7/14/2000,72,-1010_2000
-1010,7/28/2000,18,-1010_2000
-1010,8/11/2000,17,-1010_2000
-1010,8/25/2000,21,-1010_2000
-1010,9/9/2000,87,-1010_2000
-1010,9/26/2000,9,-1010_2000
-1010,6/8/2001,12,-1010_2001
-1010,6/22/2001,10,-1010_2001
-1010,7/3/2001,37,-1010_2001
-1010,8/3/2001,73,-1010_2001
-1010,8/22/2001,106,-1010_2001
-1010,9/1/2001,128,-1010_2001
-1010,9/21/2001,38,-1010_2001
-1010,6/5/2002,16,-1010_2002
-1010,6/17/2002,36,-1010_2002
-1010,7/2/2002,56,-1010_2002
-1010,7/16/2002,30,-1010_2002
-1010,7/19/2002,46,-1010_2002
-1010,8/2/2002,185,-1010_2002
-1010,8/12/2002,69,-1010_2002
-1010,8/28/2002,52,-1010_2002
-1010,9/6/2002,59,-1010_2002
-1010,9/27/2002,51,-1010_2002
-1010,6/12/2003,NA,-1010_2003
-1010,6/28/2003,416,-1010_2003
-1010,7/15/2003,NA,-1010_2003
-1010,7/30/2003,15,-1010_2003
-1010,8/14/2003,39,-1010_2003
-1010,8/30/2003,147,-1010_2003
-1010,9/6/2003,97,-1010_2003
