"lagoslakeid","gnis_name","nhd_lat","nhd_long","lake_area_ha","lake_perim_meters","class","maxdepth","dr","colora","colort","chla_mean","tn.avg","tn.trend","tp.avg","tp.trend","np","trend.pptmean","trend.pptp95","trend.pptlag1","trend.tmaxmean","trend.tmaxp95","trend.tmaxlag1","wetland_pct","devel_pct","agri_pct","HU4zone","HU2zone","tsi","tsi.cat","LII_ecoregion"
72,"Winkler Lake",44.790222,-93.832742,31.20761134,2190.1644,"mountains",NA,40.4073097829089,60,NA,84.4119402985075,NA,NA,NA,NA,NA,0.0194492624337062,0.0213944627578301,-0.007764198013562,0.0393796237389002,0.0143226921099138,0.01744406649119,1.51,6.54,84.84,"0702","07",74.1143039590451,"hypereutrophic","8.1"
75,"Miller Lake",44.785811,-93.741682,55.96877128,3245.5434,"mountains",4,89.027092574043,50,NA,56.1980519480519,NA,NA,NA,NA,NA,0.023286926564565,0.0151821639655555,-0.0191726666232702,0.0420399782847589,0.0189754375500567,0.0189943797811476,3.03,16.51,67.43,"0702","07",70.1233333367722,"hypereutrophic","8.1"
163,"Long Lake",44.949828,-93.707677,19.84528359,2207.5462,"mountains",22.63,1.85082060044273,10,NA,4.15262295081967,NA,NA,NA,NA,NA,0.00611123021612939,0.0123825739502505,-0.012965647066499,0.0418190742414872,0.0150759226077575,0.0229827379488783,8.89,6.67,12.1,"0701","07",44.566891076861,"mesotrophic","8.1"
177,"Peavey Lake",44.964807,-93.535843,3.487689177,729.7547,"mountains",16.166,NA,55,NA,22.139387755102,1071.59920634921,0.340467207982242,NA,NA,NA,0.017380564267005,0.0405719354788501,-0.0151884846757911,0.0469464932046047,0.0225062470605272,0.0188657353910866,NA,NA,NA,"0701","07",60.9850846636273,"eutrophic","8.1"
203,NA,44.797357,-93.124752,5.408933746,1203.1759,"mountains",4.4,31.2171176111869,NA,NA,28.2641509433962,NA,NA,NA,NA,NA,0.0180975400395227,0.0130458119307906,-0.0226629264523922,0.0399070430995927,0.0202567044090932,0.012821170430364,0,97.98,0,"0702","07",63.3810395976507,"eutrophic","8.1"
211,NA,44.464741,-73.287532,113496.4045,1042251.167,"mountains",97,12.6257937272365,10,15,5.38870400357518,NA,NA,20.3343663740446,-0.0450582631704629,4.89269983741623,0.0276955860455278,0.0313058106693139,0.0103695313359792,0.0458611900994243,0.0246493203807036,-0.0604080180910255,NA,NA,NA,"0415","04",47.1230311808708,"mesotrophic","8.1"
249,NA,43.737817,-73.38038,30.0086238,3494.3989,"mountains",NA,100.55955438383,NA,NA,7.24748144669811,NA,NA,50.2809421330157,0.0665691177948145,NA,0.0462406692979233,0.0298950528720012,0.000947421621589917,0.0490285099271368,0.0303674116910818,-0.0601931118484029,5.61,5.58,9.66,"0415","04",50.0302159543635,"eutrophic","8.1"
307,"Benton Lake",44.774699,-93.784604,19.15190193,1663.9878,"mountains",NA,46.2374813758249,NA,NA,156.345132743363,NA,NA,NA,NA,NA,0.0250986188220949,0.0171157543755998,-0.0130663360661839,0.0406936952713448,0.0166252259783359,0.0181806458507308,2.04,16.04,76.28,"0702","07",80.1607669979523,"hypereutrophic","8.1"
335,"Blackhawk Lake",44.819498,-93.181963,12.89386772,2602.2676,"mountains",NA,64.5547996516905,NA,NA,16.1377528089888,NA,NA,NA,NA,NA,0.0169769753056838,0.0303854073512432,-0.0147639945210204,0.0429366205048699,0.0222969425103234,0.015863658618413,0.08,90.12,0.57,"0702","07",57.8831935496507,"eutrophic","8.1"
418,"Elfin Lake",43.46829,-72.987965,8.258504312,1415.9795,"mountains",NA,7.26572861902019,NA,NA,7.36632811679687,NA,NA,17.5642390197956,0.0953425041648536,NA,-0.00135585672788678,0.0249018514069748,-0.0273221548991398,0.0700004365444522,0.0482943605333694,-0.0596191942383024,1.78,10.98,9.19,"0415","04",50.1897789392937,"eutrophic","5.3"
